freq	dB(S(4,1))
2.86787072999999948E9	-8.97908566928893137E0
2.87287573999999957E9	-8.94798448507129152E0
2.87788075000000054E9	-8.91735268334315734E0
2.88288576000000019E9	-8.88718203928255335E0
2.88789077000000027E9	-8.85746453972809533E0
2.89289577999999992E9	-8.82819237711267846E0
2.89790079000000045E9	-8.79935794356222623E0
2.90290580000000009E9	-8.77095382516030675E0
2.90791081000000018E9	-8.74297279636650870E0
2.91291581999999938E9	-8.71540781458340064E0
2.91792082999999991E9	-8.68825201487175747E0
2.92292584000000000E9	-8.66149870480696649E0
2.92793085000000008E9	-8.63514135946959804E0
2.93293585999999973E9	-8.60917361657015334E0
2.93794086999999982E9	-8.58358927170107933E0
2.94294588000000035E9	-8.55838227371138949E0
2.94795088999999955E9	-8.53354672020353000E0
2.95295590000000008E9	-8.50907685314783535E0
2.95796091000000061E9	-8.48496705460542699E0
2.96296592000000025E9	-8.46121184256836933E0
2.96797093000000034E9	-8.43780586689972267E0
2.97297593999999998E9	-8.41474390538326666E0
2.97798095000000007E9	-8.39202085987066226E0
2.98298596000000016E9	-8.36963175252794578E0
2.98799096999999936E9	-8.34757172218038335E0
2.99299597999999989E9	-8.32583602074653406E0
2.99800098999999909E9	-8.30442000976516681E0
3.00300600000000006E9	-8.28331915701330956E0
3.00801101000000015E9	-8.26252903320464682E0
3.01301601999999979E9	-8.24204530877993236E0
3.01802102999999988E9	-8.22186375077072462E0
