#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2300000000000	-19.703389571269
2.2320000000000	-19.576748992826
2.2340000000000	-19.451383460814
2.2360000000000	-19.327298646859
2.2380000000000	-19.204497771118
2.2400000000000	-19.082981863092
2.2420000000000	-18.962749998643
2.2440000000000	-18.843799515172
2.2460000000000	-18.726126206807
2.2480000000000	-18.609724501311
2.2500000000000	-18.494587620281
2.2520000000000	-18.380707724124
2.2540000000000	-18.268076043140
2.2560000000000	-18.156682995960
2.2580000000000	-18.046518296475
2.2600000000000	-17.937571050310
2.2620000000000	-17.829829841778
2.2640000000000	-17.723282812201
2.2660000000000	-17.617917730397
2.2680000000000	-17.513722056034
2.2700000000000	-17.410682996551
2.2720000000000	-17.308787558213
2.2740000000000	-17.208022591867
2.2760000000000	-17.108374833892
2.2780000000000	-17.009830942797
2.2800000000000	-16.912377531878
2.2820000000000	-16.816001198304
2.2840000000000	-16.720688548981
2.2860000000000	-16.626426223493
2.2880000000000	-16.533200914403
2.2900000000000	-16.440999385164
2.2920000000000	-16.349808485884
2.2940000000000	-16.259615167131
2.2960000000000	-16.170406491989
2.2980000000000	-16.082169646525
2.3000000000000	-15.994891948825
2.3020000000000	-15.908560856740
2.3040000000000	-15.823163974475
2.3060000000000	-15.738689058130
2.3080000000000	-15.655124020300
2.3100000000000	-15.572456933837
2.3120000000000	-15.490676034843
2.3140000000000	-15.409769725002
2.3160000000000	-15.329726573281
2.3180000000000	-15.250535317107
2.3200000000000	-15.172184863048
2.3220000000000	-15.094664287061
2.3240000000000	-15.017962834364
2.3260000000000	-14.942069918952
2.3280000000000	-14.866975122825
2.3300000000000	-14.792668194941
2.3320000000000	-14.719139049932
2.3340000000000	-14.646377766625
2.3360000000000	-14.574374586368
2.3380000000000	-14.503119911216
2.3400000000000	-14.432604301969
2.3420000000000	-14.362818476102
2.3440000000000	-14.293753305597
2.3460000000000	-14.225399814688
2.3480000000000	-14.157749177545
2.3500000000000	-14.090792715895
2.3520000000000	-14.024521896604
2.3540000000000	-13.958928329226
2.3560000000000	-13.894003763523
2.3580000000000	-13.829740086973
2.3600000000000	-13.766129322265
2.3620000000000	-13.703163624797
2.3640000000000	-13.640835280172
2.3660000000000	-13.579136701707
2.3680000000000	-13.518060427953
2.3700000000000	-13.457599120229
2.3720000000000	-13.397745560189
2.3740000000000	-13.338492647396
2.3760000000000	-13.279833396936
2.3780000000000	-13.221760937057
2.3800000000000	-13.164268506837
2.3820000000000	-13.107349453888
2.3840000000000	-13.050997232094
2.3860000000000	-12.995205399383
2.3880000000000	-12.939967615537
2.3900000000000	-12.885277640044
2.3920000000000	-12.831129329976
2.3940000000000	-12.777516637920
2.3960000000000	-12.724433609941
2.3980000000000	-12.671874383583
2.4000000000000	-12.619833185916
2.4020000000000	-12.568304331613
2.4040000000000	-12.517282221077
2.4060000000000	-12.466761338600
2.4080000000000	-12.416736250565
2.4100000000000	-12.367201603683
2.4120000000000	-12.318152123275
2.4140000000000	-12.269582611582
2.4160000000000	-12.221487946126
2.4180000000000	-12.173863078093
2.4200000000000	-12.126703030771
2.4220000000000	-12.080002898001
2.4240000000000	-12.033757842690
2.4260000000000	-11.987963095336
2.4280000000000	-11.942613952601
2.4300000000000	-11.897705775915
2.4320000000000	-11.853233990108
